Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
SNEA.SG09NAC00B01NZ,1992.03,21670,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1993.03,22115,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1994.03,23590,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1995.03,24928,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1996.03,26076,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1997.03,26980,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1998.03,27640,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,1999.03,27952,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2000.03,29465,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2001.03,31003,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2002.03,33007,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2003.03,34051,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2004.03,35724,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2005.03,37685,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2006.03,39281,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2007.03,40986,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2008.03,44076,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2009.03,44449,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2010.03,45108,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2011.03,46726,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2012.03,48553,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2013.03,49330,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2014.03,52207,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2015.03,53484,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2016.03,55101,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2017.03,57283,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2018.03,60147,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2019.03,62275,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2020.03,64643,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2021.03,64704,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2022.03,70620,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2023.03,77086,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B01NZ,2024.03,79438,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - production measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1992.03,20212,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1993.03,20684,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1994.03,21891,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1995.03,23237,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1996.03,24437,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1997.03,24971,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1998.03,25984,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,1999.03,26672,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2000.03,27701,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2001.03,29242,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2002.03,31338,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2003.03,32335,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2004.03,34027,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2005.03,35562,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2006.03,36743,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2007.03,38233,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2008.03,40932,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2009.03,41231,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2010.03,43263,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2011.03,44409,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2012.03,46355,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2013.03,47281,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2014.03,50151,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2015.03,51332,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2016.03,53260,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2017.03,55412,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2018.03,57858,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2019.03,59990,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2020.03,62995,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2021.03,63429,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2022.03,68700,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2023.03,74551,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B05NZ,2024.03,76698,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,National Income - gross,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1992.03,21675,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1993.03,22107,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1994.03,23558,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1995.03,24856,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1996.03,26076,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1997.03,26980,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1998.03,27640,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,1999.03,27952,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2000.03,29465,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2001.03,31003,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2002.03,33007,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2003.03,34051,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2004.03,35725,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2005.03,37685,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2006.03,39281,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2007.03,40985,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2008.03,44076,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2009.03,44449,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2010.03,45108,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2011.03,46726,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2012.03,48553,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2013.03,49330,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2014.03,52207,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2015.03,53484,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2016.03,55101,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2017.03,57263,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2018.03,60101,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2019.03,62236,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2020.03,64626,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2021.03,64689,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2022.03,70602,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2023.03,77131,REVISED,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
SNEA.SG09NAC00B15NZ,2024.03,79758,FINAL,"Series, Per capita measure, Nominal, Actual, Total",National Accounts - SNA 2008 - SNE,Gross Domestic Product - expenditure measure,Per Capita in New Zealand dollars,,,,Dollars,6
